Name,MarketCap,Stock,Country,Sector,Industry
Thai Beverage Public Company Ltd,$27.81 B,Y92,Thailand,Consumer Staples,Beverages—Wineries & Distilleries
Swiss Re AG,$27.80 B,SREN,Switzerland,Financials,Insurance—Reinsurance
Edison International,$27.67 B,EIX,United States,Utilities,Utilities—Regulated Electric
Wolters Kluwer N.V.,$27.65 B,WKL,Netherlands,Communication Services,Publishing
ON Semiconductor Corporation,$27.63 B,ON,United States,Technology,Semiconductors
"CaixaBank, SA",$27.58 B,CABK,Spain,Financials,Banks
Sampo Oyj,$27.46 B,SAMPO,Finland,Financials,Insurance—Diversified
Extra Space Storage Inc.,$27.37 B,EXR,United States,Real Estate,REIT—Industrial
Sartorius AG,$27.35 B,SRT,Germany,Healthcare,Medical Instruments & Supplies
"D.R. Horton, Inc.",$27.34 B,DHI,United States,Consumer Discretionary,Residential Construction
"W.W. Grainger, Inc.",$27.33 B,GWW,United States,Industrials,Industrial Distribution
NARI Technology Co. Ltd,$27.33 B,600406,China,Industrials,Specialty Industrial Machinery
KONE Oyj,$27.29 B,KNEBV,Finland,Industrials,Specialty Industrial Machinery
"McCormick & Company, Incorporated",$27.29 B,MKC,United States,Consumer Staples,Packaged Foods
NTT Data Corp,$27.26 B,9613,Japan,Technology,Information Technology Services
Ganfeng Lithium Co. Ltd,$27.25 B,002460,China,Basic Materials,Chemicals
Will Semiconductor Co. Ltd,$27.24 B,603501,China,Technology,Semiconductors
"Interactive Brokers Group, Inc.",$27.22 B,IBKR,United States,Financials,Capital Markets
Gazprom Neft PJSC,$27.14 B,SIBN,Russia,Energy,Oil & Gas Integrated
Fubon Financial Holding Co. Ltd,$27.13 B,2881,Taiwan,Financials,Insurance—Life
Tractor Supply Company,$27.09 B,TSCO,United States,Consumer Discretionary,Specialty Retail
Chocoladefabriken Lindt & Sprüngli AG,$27.08 B,LISN,Switzerland,Consumer Staples,Confectioners
"ANSYS, Inc.",$26.98 B,ANSS,United States,Technology,Software—Application
Shaanxi Coal Industry Company Ltd,$26.95 B,601225,China,Energy,Thermal Coal
Aier Eye Hospital Group Co. Ltd,$26.95 B,300015,China,Healthcare,Medical Care Facilities
"Zimmer Biomet Holdings, Inc.",$26.94 B,ZBH,United States,Healthcare,Medical Devices
Bridgestone Corp,$26.88 B,5108,Japan,Consumer Discretionary,Auto Parts
Evolution Gaming Group AB,$26.82 B,EVO,Sweden,Consumer Discretionary,Gambling
Beijing Wantai Biological Pharmacy Enterprise Co. Ltd,$26.80 B,603392,China,Healthcare,Biotechnology
Vonovia SE,$26.78 B,VNA,Germany,Real Estate,Real Estate Services
Sandvik AB,$26.71 B,SAND,Sweden,Industrials,Specialty Industrial Machinery
"Cheniere Energy Partners, L.P.",$26.68 B,CQP,United States,Energy,Oil & Gas Midstream
PG&E Corporation,$26.66 B,PCG,United States,Utilities,Utilities—Regulated Electric
Kansas City Southern,$26.59 B,KSU,United States,Industrials,Railroads
Unity Software Inc.,$26.56 B,U,United States,Technology,Software—Application
Thales SA,$26.55 B,HO,France,Industrials,Aerospace & Defense
Southwest Airlines Co.,$26.52 B,LUV,United States,Industrials,Airlines
DTE Energy Company,$26.41 B,DTE,United States,Utilities,Utilities—Regulated Electric
Intact Financial Corporation,$26.40 B,IFC,Canada,Financials,Insurance—Property & Casualty
Deutsche Bank AG,$26.38 B,DBK,Germany,Financials,Banks
Canon Inc.,$26.38 B,7751,Japan,Technology,Computer Hardware
"LYONDELLBASELL ADVANCED POLYMERS, Inc.",$26.38 B,SLMNP,United States,Basic Materials,Chemicals
National Bank of Canada,$26.29 B,,Canada,Financials,Banks
Sonova Holding AG,$26.22 B,SOON,Switzerland,Healthcare,Medical Instruments & Supplies
Realty Income Corporation,$26.18 B,O,United States,Real Estate,REIT—Retail
China Everbright Bank Company Ltd,$26.13 B,601818,China,Financials,Banks
Twilio Inc.,$26.09 B,TWLO,United States,Communication Services,Internet Content & Information
Roblox Corp,$26.05 B,RBLX,United States,Communication Services,Electronic Gaming & Multimedia
"Telefónica, SA",$26.04 B,TEF,Spain,Communication Services,Telecom Services
Central Japan Railway Co,$26.00 B,9022,Japan,Industrials,Railroads
Li Auto Inc.,$25.83 B,LI,China,Consumer Discretionary,Auto Manufacturers
EnBW Energie Baden-Wuerttemberg AG,$25.82 B,EBK,Germany,Utilities,Utilities—Diversified
"The Hartford Financial Services Group, Inc.",$25.76 B,HIG,United States,Financials,Insurance—Diversified
Laboratory Corporation of America Holdings,$25.75 B,LH,United States,Healthcare,Diagnostics & Research
"MongoDB, Inc.",$25.73 B,MDB,United States,Technology,Software—Infrastructure
Mitsubishi Electric Corporation,$25.61 B,6503,Japan,Industrials,Electrical Equipment & Parts
Banco Santander (Brasil) SA,$25.59 B,SANB11,Brazil,Financials,Banks
Axis Bank Ltd,$25.54 B,AXISBANK,India,Financials,Banks
"United Rentals, Inc.",$25.46 B,URI,United States,Industrials,Rental & Leasing Services
Nan Ya Plastics Corp,$25.41 B,1303,Taiwan,Basic Materials,Specialty Chemicals
Lennar Corporation,$25.34 B,LEN,United States,Consumer Discretionary,Residential Construction
Straumann Holding AG,$25.31 B,STMN,Switzerland,Healthcare,Medical Instruments & Supplies
CLP Holdings Ltd,$25.29 B,0002,Hong Kong,Utilities,Utilities—Regulated Electric
Yanzhou Coal Mining Company Ltd,$25.26 B,600188,China,Energy,Thermal Coal
FirstEnergy Corp.,$25.26 B,FE,United States,Utilities,Utilities—Diversified
Albemarle Corporation,$25.25 B,ALB,United States,Basic Materials,Specialty Chemicals
CK Asset Holdings Limited,$25.21 B,1113,Hong Kong,Real Estate,Real Estate—Development
"Enphase Energy, Inc.",$25.20 B,ENPH,United States,Technology,Solar
Legrand SA,$25.19 B,LR,France,Industrials,Specialty Industrial Machinery
Galaxy Entertainment Group Ltd,$25.17 B,0027,Hong Kong,Consumer Discretionary,Resorts & Casinos
Skandinaviska Enskilda Banken AB,$25.15 B,SEB.A,Sweden,Financials,Banks
The Mosaic Company,$25.09 B,MOS,United States,Basic Materials,Agricultural Inputs
CDW Corporation,$25.04 B,CDW,United States,Technology,Information Technology Services
"Gartner, Inc.",$25.03 B,IT,United States,Technology,Information Technology Services
"EDP Renováveis, SA",$25.01 B,EDPR,Spain,Utilities,Utilities—Renewable
"Delta Air Lines, Inc.",$24.92 B,DAL,United States,Industrials,Airlines
Palantir Technologies Inc.,$24.91 B,PLTR,United States,Technology,Software—Infrastructure
Seagen Inc.,$24.87 B,SGEN,United States,Healthcare,Biotechnology
"Diamondback Energy, Inc.",$24.84 B,FANG,United States,Energy,Oil & Gas E&P
"VeriSign, Inc.",$24.81 B,VRSN,United States,Technology,Software—Infrastructure
"Church & Dwight Co., Inc.",$24.81 B,CHD,United States,Consumer Staples,Household & Personal Products
Ameren Corporation,$24.79 B,AEE,United States,Utilities,Utilities—Regulated Electric
China Minsheng Banking Corp Ltd,$24.65 B,600016,China,Financials,Banks
"Live Nation Entertainment, Inc.",$24.61 B,LYV,United States,Communication Services,Entertainment
Woodside Petroleum Ltd,$24.60 B,WPL,Australia,Energy,Oil & Gas E&P
Evergreen Marine Corp,$24.49 B,2603,Taiwan,Industrials,Marine Shipping
"Aena S.M.E., SA",$24.45 B,AENA,Spain,Industrials,Airports & Air Services
XPeng Inc.,$24.44 B,XPEV,China,Consumer Discretionary,Auto Manufacturers
Northern Trust Corporation,$24.42 B,NTRS,United States,Financials,Asset Management
"Slack Technologies, Inc.",$24.30 B,WORK,United States,Technology,Software—Application
"Mid-America Apartment Communities, Inc.",$24.18 B,MAA,United States,Real Estate,REIT—Residential
Fresenius SE & Co KGaA,$24.12 B,FRE,Germany,Healthcare,Medical Care Facilities
FUJIFILM Holdings Corp,$24.12 B,4901,Japan,Industrials,Business Equipment & Supplies
BT Group plc,$24.09 B,BT.A,United Kingdom,Communication Services,Telecom Services
Vulcan Materials Company,$24.08 B,VMC,United States,Basic Materials,Building Materials
Epiroc AB,$24.08 B,3AD2,Sweden,Industrials,Farm & Heavy Construction Machinery
"Delta Electronics, Inc.",$24.05 B,2308,Taiwan,Technology,Electronic Components
Public Joint Stock Company Polyus,$24.02 B,PLZL,Russia,Basic Materials,Gold
Schindler Holding AG,$24.02 B,SCHN,Switzerland,Industrials,Specialty Industrial Machinery
ORIX Corporation,$23.97 B,8591,Japan,Financials,Credit Services
"Martin Marietta Materials, Inc.",$23.94 B,MLM,United States,Basic Materials,Building Materials
CSC Financial Co. Ltd,$23.94 B,601066,China,Financials,Capital Markets
"Best Buy Co., Inc.",$23.93 B,BBY,United States,Consumer Discretionary,Specialty Retail
STERIS plc,$23.93 B,STE,Ireland,Healthcare,Medical Instruments & Supplies
Entergy Corporation,$23.92 B,ETR,United States,Utilities,Utilities—Diversified
"M3, Inc.",$23.89 B,2413,Japan,Healthcare,Health Information Services
Splunk Inc.,$23.84 B,SPLK,United States,Technology,Software—Infrastructure
EVE Energy Co. Ltd,$23.82 B,300014,China,Industrials,Electrical Equipment & Parts
"Ventas, Inc.",$23.81 B,VTR,United States,Real Estate,REIT—Healthcare Facilities
"Endesa, SA",$23.78 B,ELE,Spain,Utilities,Utilities—Regulated Electric
SSE plc,$23.73 B,SSE,United Kingdom,Utilities,Utilities—Diversified
Compagnie Générale des Etablissements Michelin SCA,$23.65 B,ML,France,Consumer Discretionary,Auto Parts
Horizon Therapeutics Public Limited Company,$23.64 B,HZNP,Ireland,Healthcare,Drug Manufacturers—General
Baoshan Iron & Steel Co. Ltd,$23.59 B,600019,China,Basic Materials,Steel
"Stanley Black & Decker, Inc.",$23.57 B,SWK,United States,Industrials,Tools & Accessories
Sungrow Power Supply Co. Ltd,$23.55 B,300274,China,Industrials,Electrical Equipment & Parts
Beiersdorf AG,$23.51 B,BEI,Germany,Consumer Staples,Household & Personal Products
PT Bank Mandiri (Persero) Tbk,$23.51 B,PQ9,Indonesia,Financials,Banks
First Quantum Minerals Ltd.,$23.47 B,FM,Canada,Basic Materials,Copper
Kubota Corp,$23.46 B,6326,Japan,Industrials,Farm & Heavy Construction Machinery
MTN Group Ltd,$23.45 B,MTN,South Africa,Communication Services,Telecom Services
"Maxim Integrated Products, Inc.",$23.44 B,MXIM,United States,Technology,Semiconductors
"Rocket Companies, Inc.",$23.44 B,RKT,United States,Financials,Mortgage Finance
Fortis Inc.,$23.43 B,FTS,Canada,Utilities,Utilities—Regulated Electric
Formosa Plastics Corp,$23.42 B,1301,Taiwan,Basic Materials,Specialty Chemicals
Liberty Broadband Corporation,$23.40 B,LBRDK,United States,Communication Services,Entertainment
United Microelectronics Corporation,$23.35 B,2303,Taiwan,Technology,Semiconductors
Garmin Ltd.,$23.35 B,GRMN,Switzerland,Technology,Scientific & Technical Instruments
Huazhu Group Limited,$23.34 B,HTHT,China,Consumer Discretionary,Lodging
Carnival Corporation & plc,$23.29 B,CCL,United States,Consumer Discretionary,Travel Services
Sany Heavy Industry Co. Ltd,$23.27 B,600031,China,Industrials,Farm & Heavy Construction Machinery
Fox Corporation,$23.26 B,FOXA,United States,Communication Services,Broadcasting
Wens Foodstuff Group Co. Ltd,$23.20 B,300498,China,Consumer Staples,Farm Products
Société Générale SA,$23.18 B,GLE,France,Financials,Banks
Terumo Corp,$23.16 B,4543,Japan,Healthcare,Medical Instruments & Supplies
China International Capital Corp Ltd,$23.13 B,601995,China,Financials,Capital Markets
Invitation Homes Inc.,$23.09 B,INVH,United States,Real Estate,REIT—Residential
Royalty Pharma plc,$23.04 B,RPRX,United States,Healthcare,Biotechnology
Olympus Corp,$23.00 B,7733,Japan,Healthcare,Medical Instruments & Supplies
V.F. Corporation,$22.96 B,VFC,United States,Consumer Discretionary,Apparel Manufacturing
Dover Corporation,$22.94 B,DOV,United States,Industrials,Specialty Industrial Machinery
PPL Corporation,$22.87 B,PPL,United States,Utilities,Utilities—Regulated Electric
"Hengli Petrochemical Co.,Ltd.",$22.86 B,600346,China,Consumer Discretionary,Textile Manufacturing
Genmab A/S,$22.83 B,GMAB,Denmark,Healthcare,Biotechnology
SABIC Agri-Nutrients Company,$22.78 B,2020,Saudi Arabia,Basic Materials,Agricultural Inputs
Heineken Holding N.V.,$22.78 B,HEIO,Netherlands,Consumer Staples,Beverages—Brewers
East Japan Railway Company,$22.78 B,9020,Japan,Industrials,Railroads
Sociedad Química y Minera de Chile SA,$22.77 B,SQM,Chile,Basic Materials,Chemicals
Eurofins Scientific SE,$22.75 B,ERF,Luxembourg,Healthcare,Diagnostics & Research
Panasonic Corp,$22.73 B,6752,Japan,Technology,Consumer Electronics
UCB SA,$22.71 B,UCB,Belgium,Healthcare,Biotechnology
Shanghai International Port,$22.65 B,600018,China,Industrials,Marine Shipping
Hewlett Packard Enterprise Company,$22.65 B,HPE,United States,Technology,Communication Equipment
Kellogg Company,$22.63 B,K,United States,Consumer Staples,Packaged Foods
PICC Property and Casualty Company Ltd,$22.62 B,2328,China,Financials,Insurance—Property & Casualty
Grupo Financiero Banorte SAB de CV,$22.60 B,GFNORTEO,Mexico,Financials,Banks
Komatsu Ltd,$22.56 B,6301,Japan,Industrials,Farm & Heavy Construction Machinery
The Hong Kong and China Gas Company Ltd,$22.54 B,0003,Hong Kong,Utilities,Utilities—Regulated Gas
Coca-Cola Europacific Partners plc,$22.53 B,CCEP,United Kingdom,Consumer Staples,Beverages—Non-Alcoholic
"Essex Property Trust, Inc.",$22.51 B,ESS,United States,Real Estate,REIT—Residential
EMS-CHEMIE HOLDING AG,$22.48 B,EMSN,Switzerland,Basic Materials,Specialty Chemicals
"Okta, Inc.",$22.45 B,OKTA,United States,Technology,Software—Infrastructure
China National Nuclear Power Co. Ltd,$22.42 B,601985,China,Utilities,Utilities—Independent Power Producers
Sumitomo Corp,$22.42 B,8053,Japan,Industrials,Conglomerates
Tata Motors Limited,$22.38 B,TTM,India,Consumer Discretionary,Auto Manufacturers
Banco do Brasil SA,$22.36 B,BBAS3,Brazil,Financials,Banks
Hennes & Mauritz AB,$22.33 B,HM.B,Sweden,Consumer Discretionary,Apparel Manufacturing
"Bio-Rad Laboratories, Inc.",$22.32 B,BIO,United States,Healthcare,Medical Devices
Teleperformance SE,$22.30 B,TEP,France,Industrials,Consulting Services
"Fomento Económico Mexicano, S.A.B. de C.V.",$22.28 B,FEMSAUB,Mexico,Consumer Staples,Beverages—Brewers
"Huntington Bancshares, Inc.",$22.26 B,HU3,United States,Financials,Banks
"Continental Resources, Inc.",$22.25 B,CLR,United States,Energy,Oil & Gas E&P
CRRC Corp Ltd,$22.21 B,601766,China,Industrials,Railroads
"Skyworks Solutions, Inc.",$22.17 B,SWKS,United States,Technology,Semiconductors
XP Inc.,$22.16 B,XPBR31,Brazil,Financials,Capital Markets
Unicharm Corp,$22.08 B,8113,Japan,Consumer Staples,Household & Personal Products
ZTO Express (Cayman) Inc.,$22.05 B,ZTO,China,Industrials,Integrated Freight & Logistics
Geberit AG,$22.03 B,GEBN,Switzerland,Industrials,Building Products & Equipment
Toyota Industries Corp,$21.99 B,6201,Japan,Consumer Discretionary,Auto Manufacturers
Cincinnati Financial Corporation,$21.99 B,CINF,United States,Financials,Insurance—Property & Casualty
"CF Industries Holdings, Inc.",$21.95 B,CF,United States,Basic Materials,Agricultural Inputs
NIBE Industrier AB,$21.93 B,NJB,Sweden,Industrials,Building Products & Equipment
CNH Industrial N.V.,$21.93 B,CNHI,United Kingdom,Industrials,Farm & Heavy Construction Machinery
Huntington Bancshares Incorporated,$21.93 B,HBAN,United States,Financials,Banks
Duke Realty Corporation,$21.93 B,DRE,United States,Real Estate,REIT—Industrial
Restaurant Brands International Limited Partnership,$21.89 B,QSP.UN,Canada,Consumer Discretionary,Restaurants
"Monolithic Power Systems, Inc.",$21.87 B,MPWR,United States,Technology,Semiconductors
Zebra Technologies Corporation,$21.87 B,ZBRA,United States,Technology,Communication Equipment
"Ulta Beauty, Inc.",$21.82 B,ULTA,United States,Consumer Discretionary,Specialty Retail
"Dai-ichi Life Holdings, Inc.",$21.76 B,8750,Japan,Financials,Insurance—Life
M&T Bank Corporation,$21.74 B,MTB,United States,Financials,Banks
KeyCorp,$21.71 B,KEY,United States,Financials,Banks
Teledyne Technologies Incorporated,$21.65 B,TDY,United States,Technology,Scientific & Technical Instruments
"B3 S.A. - Brasil, Bolsa, Balcao",$21.58 B,B3SA3,Brazil,Financials,Financial Data & Stock Exchanges
"Contura Energy, Inc.",$21.57 B,CTRA,United States,Energy,Thermal Coal
"Shimano, Inc.",$21.51 B,7309,Japan,Consumer Discretionary,Leisure
Power Corporation of Canada,$21.48 B,POW,Canada,Financials,Insurance—Life
"J.B. Hunt Transport Services, Inc.",$21.48 B,JBHT,United States,Industrials,Integrated Freight & Logistics
Mitsui Fudosan Co. Ltd,$21.46 B,8801,Japan,Real Estate,Real Estate—Diversified
The Saudi British Bank,$21.45 B,1060,Saudi Arabia,Financials,Banks
SGS SA,$21.43 B,SGSN,Switzerland,Industrials,Consulting Services
Teck Resources Limited,$21.41 B,TECK.B,Canada,Basic Materials,Other Industrial Metals & Mining
Rede D'Or São Luiz SA,$21.40 B,RDOR3,Brazil,Healthcare,Medical Care Facilities
NEXON Co. Ltd,$21.36 B,3659,Japan,Communication Services,Electronic Gaming & Multimedia
"The Cooper Companies, Inc.",$21.35 B,COO,United States,Healthcare,Medical Instruments & Supplies
Legal & General Group plc,$21.34 B,LGEN,United Kingdom,Financials,Insurance—Life
