Name,MarketCap,Stock,Country,Sector,Industry
Synchrony Financial,$20.43 B,SYF,United States,Financials,Credit Services
Alinma Bank,$20.41 B,1150,Saudi Arabia,Financials,Banks
Investment AB Latour,$20.39 B,LATO.B,Sweden,Financials,Asset Management
Mitsubishi Estate Co. Ltd,$20.39 B,8802,Japan,Real Estate,Real Estate—Diversified
Guotai Junan Securities Co. Ltd,$20.39 B,601211,China,Financials,Capital Markets
Nippon Paint Holdings Co. Ltd,$20.38 B,4612,Japan,Basic Materials,Specialty Chemicals
Carvana Co.,$20.33 B,CVNA,United States,Consumer Discretionary,Internet Retail
Markel Corporation,$20.30 B,MKL,United States,Financials,Insurance—Property & Casualty
"Brown & Brown, Inc.",$20.27 B,BRO,United States,Financials,Insurance Brokers
Nomura Research Institute Ltd,$20.26 B,4307,Japan,Technology,Information Technology Services
MGM Resorts International,$20.22 B,MGM,United States,Consumer Discretionary,Resorts & Casinos
Mega Financial Holding Co. Ltd,$20.21 B,2886,Taiwan,Financials,Banks
Telefônica Brasil SA,$20.19 B,VIV,Brazil,Communication Services,Telecom Services
Swiss Life Holding AG,$20.16 B,SLHN,Switzerland,Financials,Insurance—Diversified
Telenor ASA,$20.15 B,TEL,Norway,Communication Services,Telecom Services
China Railway Group Ltd,$20.15 B,0390,Hong Kong,Industrials,Engineering & Construction
CTBC Financial Holding Co. Ltd,$20.15 B,2891,Taiwan,Financials,Insurance—Life
Imperial Brands plc,$20.14 B,IMB,United Kingdom,Consumer Staples,Tobacco
"Principal Financial Group, Inc.",$20.13 B,PFG,United States,Financials,Insurance—Diversified
Norsk Hydro ASA,$20.10 B,NHY,Norway,Basic Materials,Aluminum
"PerkinElmer, Inc.",$20.05 B,PKI,United States,Healthcare,Diagnostics & Research
Hannover Rück SE,$20.02 B,HNRB,Germany,Financials,Insurance—Reinsurance
"Sun Communities, Inc.",$19.98 B,SUI,United States,Real Estate,REIT—Residential
Tradeweb Markets Inc.,$19.98 B,TW,United States,Financials,Capital Markets
Trina Solar Co. Ltd,$19.94 B,688599,China,Technology,Solar
Vedanta Limited,$19.93 B,VEDL,India,Basic Materials,Other Industrial Metals & Mining
"Paycom Software, Inc.",$19.87 B,PAYC,United States,Technology,Software—Application
Klabin SA,$19.86 B,KLBN11,Brazil,Basic Materials,Paper & Paper Products
Kao Corp,$19.85 B,4452,Japan,Consumer Staples,Household & Personal Products
"Teradyne, Inc.",$19.85 B,TER,United States,Technology,Semiconductor Equipment & Materials
China Resources Beer (Holdings) Company Ltd,$19.84 B,0291,Hong Kong,Consumer Staples,Beverages—Brewers
China Communications Construction Co Ltd,$19.83 B,601800,China,Industrials,Engineering & Construction
Aviva plc,$19.82 B,AV.,United Kingdom,Financials,Insurance—Diversified
Standard Bank Group Ltd,$19.82 B,SBK,South Africa,Financials,Banks
Ryanair Holdings plc,$19.78 B,RY4C,Ireland,Industrials,Airlines
"Hologic, Inc.",$19.75 B,HOLX,United States,Healthcare,Medical Instruments & Supplies
Kerry Group plc,$19.74 B,KRZ,Ireland,Consumer Staples,Packaged Foods
Renesas Electronics Corp,$19.73 B,6723,Japan,Technology,Semiconductors
Brookfield Infrastructure Partners L.P.,$19.70 B,BIP.UN,Bermuda,Utilities,Utilities—Diversified
Shiseido Co Ltd,$19.69 B,4911,Japan,Consumer Staples,Household & Personal Products
CGI Inc.,$19.67 B,GIB.A,Canada,Technology,Information Technology Services
Henderson Land Development Co Ltd,$19.67 B,0012,Hong Kong,Real Estate,Real Estate Services
"Bill.com Holdings, Inc.",$19.65 B,BILL,United States,Technology,Software—Application
Shanghai Fosun Pharmaceutical,$19.63 B,600196,China,Healthcare,Drug Manufacturers—Specialty & Generic
"Akamai Technologies, Inc.",$19.59 B,AKAM,United States,Technology,Software—Infrastructure
China Tower Corp Ltd,$19.55 B,0788,China,Communication Services,Telecom Services
"Huatai Securities Co., Ltd.",$19.55 B,601688,China,Financials,Capital Markets
Marathon Oil Corporation,$19.54 B,MRO,United States,Energy,Oil & Gas E&P
Arch Capital Group Ltd.,$19.54 B,ACGL,Bermuda,Financials,Insurance—Diversified
TransUnion,$19.53 B,TRU,United States,Industrials,Consulting Services
JBS SA,$19.53 B,JBSS3,Brazil,Consumer Staples,Packaged Foods
Shenzhou International Group Holdings Ltd,$19.50 B,2313,Hong Kong,Consumer Discretionary,Textile Manufacturing
"Avantor, Inc.",$19.48 B,AVTR,United States,Basic Materials,Specialty Chemicals
"Molina Healthcare, Inc.",$19.46 B,MOH,United States,Healthcare,Healthcare Plans
"Ferrovial, SA",$19.44 B,FER,Spain,Industrials,Infrastructure Operations
EDP - Energias de Portugal SA,$19.43 B,EDP,Portugal,Utilities,Utilities—Diversified
Fresenius Medical Care AG & Co. KGaA,$19.42 B,FME,Germany,Healthcare,Medical Care Facilities
Svenska Handelsbanken AB,$19.42 B,SHB.A,Sweden,Financials,Banks
KB Financial Group Inc.,$19.39 B,105560,South Korea,Financials,Banks
Magna International Inc.,$19.36 B,MG,Canada,Consumer Discretionary,Auto Parts
Snam S.p.A.,$19.27 B,SRG,Italy,Utilities,Utilities—Regulated Gas
CGN Power Co. Ltd,$19.25 B,003816,China,Utilities,Utilities—Independent Power Producers
Croda International plc,$19.22 B,CRDA,United Kingdom,Basic Materials,Specialty Chemicals
Warner Music Group Corp.,$19.21 B,WMG,United States,Communication Services,Entertainment
Zhejiang Huayou Cobalt Co. Ltd,$19.20 B,603799,China,Basic Materials,Other Industrial Metals & Mining
"SS&C Technologies Holdings, Inc.",$19.15 B,SSNC,United States,Technology,Software—Application
Carlsberg A-S,$19.12 B,CARL.A,Denmark,Consumer Staples,Beverages—Brewers
NICE Ltd.,$19.12 B,NICE,Israel,Technology,Software—Application
Waters Corporation,$19.11 B,WAT,United States,Healthcare,Diagnostics & Research
Otsuka Holdings Co. Ltd,$19.03 B,4578,Japan,Healthcare,Drug Manufacturers—General
Tenaris SA,$18.98 B,TEN,Luxembourg,Energy,Oil & Gas Equipment & Services
"Citizens Financial Group, Inc.",$18.95 B,CFG,United States,Financials,Banks
Check Point Software Technologies Ltd.,$18.94 B,CHKP,Israel,Technology,Software—Infrastructure
Toshiba Corp,$18.93 B,6502,Japan,Industrials,Specialty Industrial Machinery
"LG Electronics, Inc.",$18.91 B,066570,South Korea,Technology,Consumer Electronics
Astra International Tbk PT,$18.90 B,ASJA,Indonesia,Consumer Discretionary,Auto Parts
Omnicom Group Inc.,$18.80 B,OMC,United States,Communication Services,Advertising Agencies
"Aecc Aviation Power Co.,Ltd",$18.79 B,600893,China,Industrials,Aerospace & Defense
International Paper Company,$18.78 B,INPAP,United States,Consumer Discretionary,Packaging & Containers
Scottish Mortgage Investment Trust plc,$18.78 B,SMT,United Kingdom,Financials,Asset Management
George Weston Limited,$18.77 B,WN,Canada,Consumer Staples,Grocery Stores
"NetApp, Inc.",$18.76 B,NTAP,United States,Technology,Computer Hardware
"Healthpeak Properties, Inc.",$18.76 B,PEAK,United States,Real Estate,REIT—Healthcare Facilities
"MS&AD Insurance Group Holdings, Inc.",$18.75 B,8725,Japan,Financials,Insurance—Property & Casualty
The Liberty SiriusXM Group,$18.74 B,LSXMB,United States,Communication Services,Broadcasting
Credit Suisse Group AG,$18.72 B,CSGN,Switzerland,Financials,Banks
Air China Ltd,$18.72 B,601111,China,Industrials,Airlines
Power Construction Corp of China Ltd,$18.69 B,601669,China,Industrials,Engineering & Construction
"JD Health International, Inc.",$18.69 B,8ZN,China,Healthcare,Medical Care Facilities
South32 Limited,$18.67 B,S32,Australia,Basic Materials,Other Industrial Metals & Mining
"Huaneng Power International, Inc.",$18.57 B,600011,China,Utilities,Utilities—Independent Power Producers
Sands China Ltd,$18.52 B,1928,Macao,Consumer Discretionary,Resorts & Casinos
HEICO Corporation,$18.49 B,HEI,United States,Industrials,Aerospace & Defense
GF Securities Co. Ltd,$18.44 B,000776,China,Financials,Capital Markets
Genuine Parts Company,$18.41 B,GPC,United States,Consumer Discretionary,Specialty Retail
Vodacom Group Ltd,$18.41 B,VOD,South Africa,Communication Services,Telecom Services
"Take-Two Interactive Software, Inc.",$18.35 B,TTWO,United States,Communication Services,Electronic Gaming & Multimedia
China Merchants Securities Co. Ltd,$18.35 B,600999,China,Financials,Capital Markets
"Alnylam Pharmaceuticals, Inc.",$18.33 B,ALNY,United States,Healthcare,Biotechnology
Aeon Co. Ltd,$18.32 B,8267,Japan,Consumer Discretionary,Department Stores
Link Real Estate Investment Trust,$18.27 B,0823,Hong Kong,Real Estate,REIT—Retail
Shionogi & Co. Ltd,$18.27 B,4507,Japan,Healthcare,Drug Manufacturers—Specialty & Generic
Ubiquiti Inc.,$18.25 B,UI,United States,Technology,Communication Equipment
"Quanta Services, Inc.",$18.25 B,PWR,United States,Industrials,Engineering & Construction
"Catalent, Inc.",$18.24 B,CTLT,United States,Healthcare,Drug Manufacturers—Specialty & Generic
Haitong Securities Co. Ltd,$18.23 B,600837,China,Financials,Capital Markets
Asahi Group Holdings Ltd,$18.21 B,2502,Japan,Consumer Staples,Beverages—Brewers
Capitec Bank Holdings Ltd,$18.21 B,CPI,South Africa,Financials,Banks
Restaurant Brands International Inc.,$18.19 B,QSR,Canada,Consumer Discretionary,Restaurants
"Yum China Holdings, Inc.",$18.18 B,YUMC,China,Consumer Discretionary,Restaurants
CEZ AS,$18.16 B,CEZ,Czechia,Utilities,Utilities—Renewable
Veolia Environnement SA,$18.14 B,VIE,France,Industrials,Waste Management
"Avis Budget Group, Inc.",$18.12 B,CAR,United States,Industrials,Rental & Leasing Services
